policy,ci_weight,batch_size,job_count,arrival_rate,warmup_min,theta_e,theta_c,total_ci_cost_g,avg_ci_per_job_g,carbon_median_g,carbon_iqr_g,cfp_g_per_cpu_hour,avg_wait_s,wait_median_s,wait_iqr_s,makespan_s,elapsed_ms,num_jobs,alpha,beta,gamma,alpha_mass,lookahead_min,duration_scale,duration_overrides,rep
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21354.899000,21354.899000,44085.276000,338259.000000,291.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,24
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20779.611000,20779.611000,42633.569000,342600.000000,342.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,24
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20734.856000,20734.856000,43893.288500,338017.000000,185.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,25
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21742.966500,21742.966500,42510.538500,338329.000000,261.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,25
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21218.367000,21218.367000,44098.154000,338259.000000,294.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,25
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20727.933000,20727.933000,42636.788500,342600.000000,351.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,25
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20764.228500,20764.228500,43868.148750,338017.000000,194.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,26
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21746.080500,21746.080500,42498.966250,338329.000000,270.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,26
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21291.414000,21291.414000,44051.865000,338259.000000,293.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,26
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20734.161000,20734.161000,42625.216250,342600.000000,365.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,26
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20772.836500,20772.836500,43903.243250,338017.000000,187.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,27
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42509.081250,338329.000000,286.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,27
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21348.772000,21348.772000,44092.325000,338259.000000,299.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,27
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20781.998000,20781.998000,42635.331250,342600.000000,350.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,27
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20740.710500,20740.710500,43893.366750,338017.000000,188.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,28
