policy,job_id,site,node,queued_at,started_at,ended_at,submit,start,end,wait_s,runtime_s,queue_seconds,energy_kwh,energy_wh,carbon_kg,carbon_g,ci_cost,ci_cost_g,source
carbonscaler,039,C,hetsched-worker2,2025-11-18T12:35:14+00:00,2025-11-18T12:35:52+00:00,2025-11-18T12:36:02+00:00,2025-11-18T12:35:14+00:00,2025-11-18T12:35:52+00:00,2025-11-18T12:36:02+00:00,38.0,10.0,38.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,040,A,hetsched-worker,2025-11-18T12:35:24+00:00,2025-11-18T12:35:54+00:00,2025-11-18T12:36:04+00:00,2025-11-18T12:35:24+00:00,2025-11-18T12:35:54+00:00,2025-11-18T12:36:04+00:00,30.0,10.0,30.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,041,A,hetsched-worker,2025-11-18T12:35:24+00:00,2025-11-18T12:35:54+00:00,2025-11-18T12:36:04+00:00,2025-11-18T12:35:24+00:00,2025-11-18T12:35:54+00:00,2025-11-18T12:36:04+00:00,30.0,10.0,30.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,044,A,hetsched-worker,2025-11-18T12:35:27+00:00,2025-11-18T12:35:55+00:00,2025-11-18T12:36:05+00:00,2025-11-18T12:35:27+00:00,2025-11-18T12:35:55+00:00,2025-11-18T12:36:05+00:00,28.0,10.0,28.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,045,A,hetsched-worker,2025-11-18T12:35:28+00:00,2025-11-18T12:35:55+00:00,2025-11-18T12:36:05+00:00,2025-11-18T12:35:28+00:00,2025-11-18T12:35:55+00:00,2025-11-18T12:36:05+00:00,27.0,10.0,27.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,048,C,hetsched-worker2,2025-11-18T12:35:33+00:00,2025-11-18T12:35:56+00:00,2025-11-18T12:36:06+00:00,2025-11-18T12:35:33+00:00,2025-11-18T12:35:56+00:00,2025-11-18T12:36:06+00:00,23.0,10.0,23.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,049,C,hetsched-worker2,2025-11-18T12:35:35+00:00,2025-11-18T12:35:57+00:00,2025-11-18T12:36:07+00:00,2025-11-18T12:35:35+00:00,2025-11-18T12:35:57+00:00,2025-11-18T12:36:07+00:00,22.0,10.0,22.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,050d0962-28c1-4569-b401-7315eb06ef29,A,hetsched-worker,2025-11-18T12:34:49+00:00,2025-11-18T12:35:00+00:00,2025-11-18T12:36:00+00:00,2025-11-18T12:34:49+00:00,2025-11-18T12:35:00+00:00,2025-11-18T12:36:00+00:00,11.0,60.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,0625086c-edb6-4824-90c5-792756feefd8,A,hetsched-worker,2025-11-18T12:34:33+00:00,2025-11-18T12:34:34+00:00,2025-11-18T12:35:34+00:00,2025-11-18T12:34:33+00:00,2025-11-18T12:34:34+00:00,2025-11-18T12:35:34+00:00,1.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,0b40f12f-556b-472a-ae7d-dbb29ce9bed2,B,themis-control-plane,2025-11-18T12:34:38+00:00,2025-11-18T12:34:41+00:00,2025-11-18T12:35:41+00:00,2025-11-18T12:34:38+00:00,2025-11-18T12:34:41+00:00,2025-11-18T12:35:41+00:00,3.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,110a4e94-83c7-445e-b8c5-0ff21e1761aa,A,hetsched-worker,2025-11-18T12:34:55+00:00,2025-11-18T12:35:09+00:00,2025-11-18T12:36:09+00:00,2025-11-18T12:34:55+00:00,2025-11-18T12:35:09+00:00,2025-11-18T12:36:09+00:00,14.0,60.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,14d5a83a-4c0d-4c8c-96c1-89df8295be43,B,themis-control-plane,2025-11-18T12:35:05+00:00,2025-11-18T12:35:23+00:00,2025-11-18T12:36:23+00:00,2025-11-18T12:35:05+00:00,2025-11-18T12:35:23+00:00,2025-11-18T12:36:23+00:00,18.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
