sched,job_id,node,submit,start,end,wait_ms,ci_cost,policy
carbonscaler,job-275,small-0,2025-10-19T17:04:49+02:00,2025-10-20T14:16:18.55527549+02:00,2025-10-20T14:16:56.55527549+02:00,76289555,0.000153,carbonscaler
carbonscaler,job-276,gpu-0,2025-10-19T17:04:52+02:00,2025-10-20T14:16:19.55527549+02:00,2025-10-20T14:17:09.55527549+02:00,76287555,0.000124,carbonscaler
carbonscaler,job-279,small-2,2025-10-19T17:04:57+02:00,2025-10-20T14:16:23.55527549+02:00,2025-10-20T14:17:01.55527549+02:00,76286555,0.000153,carbonscaler
carbonscaler,job-281,burst-0,2025-10-19T17:05:03+02:00,2025-10-20T14:16:26.55527549+02:00,2025-10-20T14:17:06.55527549+02:00,76283555,0.00018,carbonscaler
carbonscaler,job-284,gpu-0,2025-10-19T17:05:04+02:00,2025-10-20T14:16:30.55527549+02:00,2025-10-20T14:17:28.55527549+02:00,76286555,0.000148,carbonscaler
carbonscaler,job-288,small-3,2025-10-19T17:05:08+02:00,2025-10-20T14:16:30.55527549+02:00,2025-10-20T14:17:27.55527549+02:00,76282555,0.00023,carbonscaler
carbonscaler,job-289,small-4,2025-10-19T17:05:08+02:00,2025-10-20T14:16:30.55527549+02:00,2025-10-20T14:17:25.55527549+02:00,76282555,0.000222,carbonscaler
carbonscaler,job-293,small-2,2025-10-19T17:05:13+02:00,2025-10-20T14:16:32.55527549+02:00,2025-10-20T14:17:18.55527549+02:00,76279555,0.000185,carbonscaler
carbonscaler,job-296,small-3,2025-10-19T17:05:17+02:00,2025-10-20T14:16:32.55527549+02:00,2025-10-20T14:17:12.55527549+02:00,76275555,0.000161,carbonscaler
carbonscaler,job-297,small-2,2025-10-19T17:05:17+02:00,2025-10-20T14:16:33.55527549+02:00,2025-10-20T14:17:18.55527549+02:00,76276555,0.000181,carbonscaler
carbonscaler,job-301,small-3,2025-10-19T17:05:21+02:00,2025-10-20T14:16:33.55527549+02:00,2025-10-20T14:17:12.55527549+02:00,76272555,0.000157,carbonscaler
carbonscaler,job-302,gpu-0,2025-10-19T17:05:21+02:00,2025-10-20T14:16:36.55527549+02:00,2025-10-20T14:17:16.55527549+02:00,76275555,0.000104,carbonscaler
carbonscaler,job-305,small-4,2025-10-19T17:05:22+02:00,2025-10-20T14:16:36.55527549+02:00,2025-10-20T14:17:21.55527549+02:00,76274555,0.000181,carbonscaler
carbonscaler,job-311,small-1,2025-10-19T17:05:25+02:00,2025-10-20T14:16:39.55527549+02:00,2025-10-20T14:17:31.55527549+02:00,76274555,0.000209,carbonscaler
carbonscaler,job-318,med-0,2025-10-19T17:05:31+02:00,2025-10-20T14:16:40.55527549+02:00,2025-10-20T14:17:17.55527549+02:00,76269555,0.000158,carbonscaler
carbonscaler,job-320,small-4,2025-10-19T17:05:35+02:00,2025-10-20T14:16:42.55527549+02:00,2025-10-20T14:17:27.55527549+02:00,76267555,0.000181,carbonscaler
carbonscaler,job-328,small-0,2025-10-19T17:05:41+02:00,2025-10-20T14:16:45.55527549+02:00,2025-10-20T14:17:23.55527549+02:00,76264555,0.000153,carbonscaler
carbonscaler,job-330,small-2,2025-10-19T17:05:44+02:00,2025-10-20T14:16:47.55527549+02:00,2025-10-20T14:17:46.55527549+02:00,76263555,0.000238,carbonscaler
carbonscaler,job-332,small-4,2025-10-19T17:05:45+02:00,2025-10-20T14:16:49.55527549+02:00,2025-10-20T14:17:44.55527549+02:00,76264555,0.000222,carbonscaler
