policy,job_id,site,node,queued_at,started_at,ended_at,submit,start,end,wait_s,runtime_s,queue_seconds,energy_kwh,energy_wh,carbon_kg,carbon_g,ci_cost,ci_cost_g,source
k8s,046,A,hetsched-worker,2025-11-18T12:36:43+00:00,2025-11-18T12:37:24+00:00,2025-11-18T12:37:34+00:00,2025-11-18T12:36:43+00:00,2025-11-18T12:37:24+00:00,2025-11-18T12:37:34+00:00,41.0,10.0,41.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,047,A,hetsched-worker,2025-11-18T12:37:29+00:00,2025-11-18T12:37:37+00:00,2025-11-18T12:37:47+00:00,2025-11-18T12:37:29+00:00,2025-11-18T12:37:37+00:00,2025-11-18T12:37:47+00:00,8.0,10.0,8.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,048,A,hetsched-worker,2025-11-18T12:36:44+00:00,2025-11-18T12:37:26+00:00,2025-11-18T12:37:36+00:00,2025-11-18T12:36:44+00:00,2025-11-18T12:37:26+00:00,2025-11-18T12:37:36+00:00,42.0,10.0,42.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,049,C,hetsched-worker2,2025-11-18T12:37:37+00:00,2025-11-18T12:37:39+00:00,2025-11-18T12:37:49+00:00,2025-11-18T12:37:37+00:00,2025-11-18T12:37:39+00:00,2025-11-18T12:37:49+00:00,2.0,10.0,2.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,07e93f85-555d-4f00-abe3-9cf126f2d262,C,hetsched-worker2,2025-11-18T12:36:36+00:00,2025-11-18T12:36:54+00:00,2025-11-18T12:37:54+00:00,2025-11-18T12:36:36+00:00,2025-11-18T12:36:54+00:00,2025-11-18T12:37:54+00:00,18.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,0a3c83ca-3914-43fc-aaea-88a7be02b2ec,A,hetsched-worker,2025-11-18T12:36:21+00:00,2025-11-18T12:36:22+00:00,2025-11-18T12:37:22+00:00,2025-11-18T12:36:21+00:00,2025-11-18T12:36:22+00:00,2025-11-18T12:37:22+00:00,1.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,0ace0a55-c5c0-42ce-a72c-f884bc4478d9,A,hetsched-worker,2025-11-18T12:36:42+00:00,2025-11-18T12:37:05+00:00,2025-11-18T12:38:05+00:00,2025-11-18T12:36:42+00:00,2025-11-18T12:37:05+00:00,2025-11-18T12:38:05+00:00,23.0,60.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,1a7c4ed5-e994-4f82-a7a5-17c6bd58b05f,C,hetsched-worker2,2025-11-18T12:36:34+00:00,2025-11-18T12:36:49+00:00,2025-11-18T12:37:49+00:00,2025-11-18T12:36:34+00:00,2025-11-18T12:36:49+00:00,2025-11-18T12:37:49+00:00,15.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,1d2019e4-13f8-4856-8017-3c2bcab09652,B,themis-control-plane,2025-11-18T12:37:10+00:00,2025-11-18T12:37:31+00:00,2025-11-18T12:37:51+00:00,2025-11-18T12:37:10+00:00,2025-11-18T12:37:31+00:00,2025-11-18T12:37:51+00:00,21.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,1d647f61-e6e5-49a4-a969-6a46fef60d3f,A,hetsched-worker,2025-11-18T12:36:33+00:00,2025-11-18T12:36:49+00:00,2025-11-18T12:37:49+00:00,2025-11-18T12:36:33+00:00,2025-11-18T12:36:49+00:00,2025-11-18T12:37:49+00:00,16.0,60.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,1e7cae36-12ec-4a49-969b-36905978584a,,hetsched-worker,2025-11-18T12:38:11+00:00,2025-11-18T12:38:12+00:00,2025-11-18T12:39:12+00:00,2025-11-18T12:38:11+00:00,2025-11-18T12:38:12+00:00,2025-11-18T12:39:12+00:00,1.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,23986ff6-cb1d-47e6-8495-286035c9e677,A,hetsched-worker,2025-11-18T12:36:28+00:00,2025-11-18T12:36:36+00:00,2025-11-18T12:37:36+00:00,2025-11-18T12:36:28+00:00,2025-11-18T12:36:36+00:00,2025-11-18T12:37:36+00:00,8.0,60.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,26af0abf-0688-454a-ba32-f5cf2c6cba83,A,hetsched-worker,2025-11-18T12:36:38+00:00,2025-11-18T12:36:56+00:00,2025-11-18T12:37:56+00:00,2025-11-18T12:36:38+00:00,2025-11-18T12:36:56+00:00,2025-11-18T12:37:56+00:00,18.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,2db7e9bc-e59c-4693-8592-08a9a8e83461,A,hetsched-worker,2025-11-18T12:36:34+00:00,2025-11-18T12:36:50+00:00,2025-11-18T12:37:50+00:00,2025-11-18T12:36:34+00:00,2025-11-18T12:36:50+00:00,2025-11-18T12:37:50+00:00,16.0,60.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
